x,y
6173209.996,2090516.936
6486418.004,1904154.064
6258877.666,1876308.694
6304772.048,1970395.359
6334329.952,1816012.641
6255478.652,1844198.598
6257184.066,1836571.786
6259421.236,1859216.563
6251116.064,1962569.604
6283312.605,1999160.064
6540862.213,1852224.687
6334996.897,1816760.402
6233101.011,2062714.677
6256562.669,1910246.52
6321527.996,1850589.492
6306629.936,1851191.972
6253446.801,2045995.065
6278345.341,1851998.244
6329907.891,1869706.722
6237083.057,2057664.035
6271343.093,1836657.659
6270658.475,1852052.322
6377366.953,1916621.884
6281706.918,1827113.928
6307441.073,1857554.552
6375348.049,1955520.959
6319181.458,1844131.535
6174101.552,2090291.484
6319132.458,1844172.535
6282246.947,1987421.415
6282280.466,1987475.935
6315874.86,1986351.987
6264599.942,1870803.239
6253167.775,2045568.314
6194962.94,2052048.616
6320436.989,1851934.369
6245237,1958370.001
6334201.946,1787312.22
6272836.188,1982229.987
6270020.938,1839670.973
6290133.613,1951372.337
6496519.753,1840471.969
6291618.536,1794716.872
6268643.688,1832067.474
6239421.13,1968682.528
6258189.129,1998740.531
6332846.173,2067653.693
6257711.958,1829914.584
6245352.864,1954313.988
6270457.312,1868740.951
6239995.871,2015249.693
6270161.971,1852108.76
6232540.971,2066549.24
6274723.527,1934641.066
6328897.381,1844528.588
6265344.363,2018163.496
6244943.635,1883980.392
6256814.242,2023751.15
6274692.512,1934354.313
6340121.705,2061822.105
6288422.153,1899179.133
6272341.887,1835694.79
6318752.766,1825704.14
6232653.166,2065690.588
6249577.527,2081582.697
6553414.697,2013257.473
6334750.666,1884303.725
6364515.229,1916318.739
6337414.791,1846377.947
6267946.747,1996694.377
6186654.011,2083010.043
6331027.552,1863729.508
6263730.481,1871405.512
6461626.519,1968753.488
6239315.994,2011484.013
6301492.935,1996855.659
6377129.019,1918913.689
6329633.519,1844905.075
6303985.626,2049740.372
6247747.558,1946604.549
6257427.813,1840293.09
6247764.465,1946539.19
6281591.564,2070295.806
6268576.707,1832076.539
6537522.214,1850731.521
6489356.532,1906232.936
6272596.695,1836027.652
6422436.695,1801473.347
6250016.111,2083307.831
6249518.681,2035953.131
6306764.395,1821835.006
6231520.667,2028592.564
6402334.964,1967167.402
6329940.921,1993502.789
6315701.871,1821973.938
6272869.028,1835849.066
