3400	"Sacramento County-Sheriff"						
3401	"Folsom-PD"						
3402	"Galt-PD"						
3403	"Isleton-PD"						
3404	"Sacramento-PD"						
3408	"CSU Sacramento-PD"						
3412	"American Riv Pk Dist-PD"						
3422	"Gold Rush Park Dist-PD"						
3433	"Twin Cities Pk Dist-PD"						
3496	"Citrus Heights-PD"						
3501	"Hollister-PD"						
3502	"San Juan Bautista-PD"						
3504	"Hollister Hills Park-PD"						
3600	"San Bernardino County-Sheriff"						
3601	"Barstow-PD"						
3602	"Chino-PD"						
3603	"Colton-PD"						
3604	"Fontana-PD"						
3605	"Montclair-PD"						
3607	"Ontario-PD"						
3608	"Redlands-PD"						
3609	"Rialto-PD"						
3610	"San Bernardino-PD"						
3611	"Upland-PD"						
3613	"Adelanto-PD"						
3614	"CSU San Bernardino-PD"						
3700	"San Diego County-Sheriff"						
3701	"Carlsbad-PD"						
3702	"Chula Vista-PD"						
3703	"Coronado-PD"						
3705	"El Cajon-PD"						
3706	"Escondido-PD"						
3708	"La Mesa-PD"						
3709	"National City-PD"						
3710	"Oceanside-PD"						
3711	"San Diego-PD"						
3714	"San Diego State Univ-PD"						
3715	"San Diego Harbor-PD"						
3722	"Colorado Desert Park-PD"						
3724	"Ocotillo Wls Pk Dist-PD"						
3725	"San Diego Pk Dist-PD"						
3797	"UC San Diego-PD"						
3801	"San Francisco-PD"						
3803	"San Francisco State-PD"						
3897	"UC San Francisco-PD"						
3900	"San Joaquin County-Sheriff"						
3901	"Escalon-PD"						
3902	"Lodi-PD"						
3903	"Manteca-PD"						
3904	"Ripon-PD"						
3905	"Stockton-PD"						
3906	"Tracy-PD"						
4001	"Arroyo Grande-PD"						
4002	"Grover Beach-PD"						
4003	"Morro Bay-PD"						
4004	"Paso Robles-PD"						
4005	"Pismo Beach-PD"						
4006	"San Luis Obispo-PD"						
4007	"Cal Poly Slo-PD"						
4008	"Atascadero-PD"						
4012	"San Simeon Park Dist-PD"						
4013	"S L Obispo Cst Dist-PD"						
4014	"Pismo Dunes Pk Dist-PD"						
4100	"San Mateo County-Sheriff"						
4101	"Atherton-PD"						
4102	"Belmont-PD"						
4103	"Brisbane-PD"						
4104	"Burlingame-PD"						
4105	"Colma-PD"						
4106	"Daly City-PD"						
4107	"Half Moon Bay-PD"						
4108	"Hillsborough-PD"						
4109	"Menlo Park-PD"						
4110	"Millbrae-PD"						
4111	"Pacifica-PD"						
4113	"Redwood City-PD"						
4114	"San Bruno-PD"						
4115	"San Carlos-PD"						
4116	"San Mateo-PD"						
4117	"South San Francisco-PD"						
4119	"Broadmoor-PD"						
4120	"Foster City-PD"						
4125	"Sf Intrnatnl Airport-PD"						
4126	"Bay Area Park Dist-PD"						
4127	"East Palo Alto-PD"						
4200	"Santa Barbara County-Sheriff"						
4201	"Guadalupe-PD"						
4202	"Lompoc-PD"						
4203	"Santa Barbara-PD"						
4204	"Santa Maria-PD"						
4212	"Buellton-PD"						
4297	"UC Santa Barbara-PD"						
4300	"Santa Clara County-Sheriff"						
4302	"Campbell-PD"						
4304	"Gilroy-PD"						
4305	"Los Altos-PD"						
4307	"Los Gatos-PD"						
4308	"Milpitas-PD"						
4310	"Morgan Hill-PD"						
4311	"Mountain View-PD"						
4312	"Palo Alto-PD"						
4313	"San Jose-PD"						
4314	"Santa Clara-PD"						
4316	"Sunnyvale-PD"						
4317	"San Jose State Univ-PD"						
4320	"Sj Evrgreen Comm Clg-PD"						
4401	"Capitola-PD"						
4402	"Santa Cruz-PD"						
4403	"Watsonville-PD"						
4404	"Scotts Valley-PD"						
4408	"Santa Cruz Pk Dist-PD"						
4497	"UC Santa Cruz-PD"						
4500	"Shasta County-Sheriff"						
4501	"Anderson-PD"						
4502	"Redding-PD"						
4600	"Sierra County-Sheriff"						
4700	"Siskiyou County-Sheriff"						
4701	"Dorris-PD"						
4706	"Mount Shasta-PD"						
4707	"Tulelake-PD"						
4708	"Weed-PD"						
4709	"Yreka-PD"						
4710	"Lake Shastina-PD"						
4801	"Benicia-PD"						
4802	"Dixon-PD"						
4803	"Fairfield-PD"						
4804	"Rio Vista-PD"						
4805	"Suisun City-PD"						
4806	"Vacaville-PD"						
4807	"Vallejo-PD"						
4900	"Sonoma County-Sheriff"						
4901	"Cloverdale-PD"						
4902	"Cotati-PD"						
4903	"Healdsburg-PD"						
4904	"Rohnert Park-PD"						
4905	"Santa Rosa-PD"						
4906	"Sebastopol-PD"						
4907	"Sonoma-PD"						
4908	"Petaluma-PD"						
4909	"Sonoma State Univ-PD"						
4911	"Silverado Park Dist-PD"						
4912	"Russ Riv Mndcno Dist-PD"						
4914	"Santa Rosa Campus Pd-PD"						
5001	"Ceres-PD"						
5002	"Modesto-PD"						
5003	"Newman-PD"						
5004	"Oakdale-PD"						
5005	"Patterson-PD"						
5006	"Riverbank-PD"						
5007	"Turlock-PD"						
5008	"Waterford-PD"						
5009	"Hughson-PD"						
5010	"CSC Stanislaus-PD"						
5100	"Sutter County-Sheriff"						
5102	"Yuba City-PD"						
5201	"Corning-PD"						
5202	"Red Bluff-PD"						
5401	"Dinuba-PD"						
5402	"Exeter-PD"						
5403	"Farmersville-PD"						
5404	"Lindsay-PD"						
5405	"Porterville-PD"						
5406	"Tulare-PD"						
5407	"Visalia-PD"						
5408	"Woodlake-PD"						
5501	"Sonora-PD"						
5600	"Ventura County-Sheriff"						
